Age,Favourite_healthy_food,Favourite_cheat_meal,Main_macronutrient_source,Flexibility_level,Dehydration,Compound_movements_workout,Workout_minutes_per_week,Outcome
23,Kale,Pizza,Protein,1587,yes,yes,502,Loss_of_strength
23,Kale,Pizza,Good fat,82,no,no,289,Loss_of_strength
23,Kale,Pizza,Protein,4545,no,no,200,Loss_of_strength
23,Almond,Donut,Protein,299,yes,no,104,Loss_of_strength
23,Kale,Pizza,Bad fat,231,yes,no,560,Loss_of_strength
23,Kale,Pizza,Protein,105,yes,no,498,Loss_of_strength
23,Kale,Pizza,Protein,537,yes,no,172,Loss_of_strength
24,Kale,Pizza,Protein,409,yes,no,912,Strength_restored
24,Kale,Donut,Protein,685,yes,no,896,Strength_restored
24,Kale,Pizza,Protein,-203,yes,no,465,Strength_restored
24,Almond,Donut,Protein,867,yes,no,546,Strength_restored
24,Kale,Pizza,Protein,23878,no,no,185,Strength_restored
24,Kale,Pizza,Protein,167,no,yes,134,Strength_restored
24,Almond,Pizza,Good fat,-61,no,no,95,Strength_restored
24,Kale,Pizza,Protein,1250,no,no,411,Strength_restored
24,Almond,Donut,Bad fat,448,no,no,324,Strength_restored
24,Kale,Pizza,Protein,597,yes,no,943,Strength_restored
24,Kale,Pizza,Bad fat,2022,no,no,159,Strength_restored
24,Almond,Pizza,Good fat,2845,no,no,779,Strength_restored
24,Almond,Pizza,Protein,1052,no,no,354,Strength_restored
24,Kale,Pizza,Carbs,474,no,no,551,Strength_restored
24,Kale,Pizza,Protein,382,no,no,567,Strength_restored
24,Kale,Pizza,Protein,387,no,no,340,Strength_restored
24,Kale,Donut,Protein,4500,yes,no,733,Strength_restored
24,Kale,Pizza,Protein,174,yes,yes,487,Strength_restored
24,Kale,Pizza,Protein,167,no,yes,288,Strength_restored
24,Kale,Pizza,Protein,23878,no,no,133,Strength_restored
24,Almond,Pizza,Good fat,0,yes,no,122,Strength_restored
24,Almond,Pizza,Good fat,507,no,no,257,Strength_restored
24,Kale,Pizza,Protein,726,no,no,445,Strength_restored
24,Kale,Pizza,Protein,1857,yes,no,147,Strength_restored
24,Kale,Donut,Protein,556,yes,no,368,Strength_restored
24,Kale,Pizza,Good fat,235,no,no,118,Strength_restored
24,Kale,Pizza,Protein,125,no,no,263,Strength_restored
24,Kale,Pizza,Protein,382,no,no,256,Strength_restored
24,Kale,Pizza,Protein,3176,no,no,108,Strength_restored
24,Kale,Pizza,Good fat,235,no,no,98,Strength_restored
24,Kale,Pizza,Protein,4126,no,no,907,Strength_restored
24,Almond,Pizza,Good fat,736,yes,no,442,Strength_restored
24,Almond,Pizza,Protein,1295,no,no,476,Strength_restored
24,Almond,Pizza,Good fat,1,no,no,396,Strength_restored
24,Kale,Pizza,Bad fat,358,no,no,245,Strength_restored
24,Kale,Pizza,Protein,403,no,no,247,Strength_restored
24,Almond,Pizza,Good fat,674,yes,no,267,Strength_restored
24,Kale,Pizza,Protein,1123,no,no,475,Strength_restored
24,Almond,Pizza,Protein,1295,no,no,355,Strength_restored
24,Kale,Pizza,Protein,1925,no,no,1363,Strength_restored
24,Kale,Pizza,Protein,431,no,no,418,Strength_restored
24,Kale,Pizza,Protein,689,no,no,630,Strength_restored
24,Kale,Pizza,Good fat,834,no,no,679,Strength_restored
24,Kale,Pizza,Protein,139,no,no,430,Strength_restored
24,Almond,Pizza,Protein,166,no,no,256,Strength_restored
24,Almond,Pizza,Good fat,393,no,no,1298,Strength_restored
24,Kale,Pizza,Protein,822,no,no,184,Strength_restored
24,Kale,Pizza,Protein,-122,yes,no,1000,Strength_restored
24,Kale,Pizza,Protein,8165,no,no,216,Strength_restored
24,Almond,Pizza,Good fat,1506,no,no,239,Strength_restored
24,Kale,Pizza,Carbs,1235,no,no,334,Strength_restored
24,Kale,Pizza,Protein,414,yes,no,493,Strength_restored
24,Almond,Pizza,Good fat,1030,no,no,396,Strength_restored
24,Kale,Donut,Carbs,656,yes,no,894,Strength_restored
24,Beets,Pizza,Good fat,2984,yes,no,935,Strength_restored
24,Kale,Pizza,Protein,1234,no,no,314,Strength_restored
24,Kale,Donut,Protein,272,no,no,105,Strength_restored
24,Kale,Donut,Protein,556,yes,no,278,Strength_restored
24,Kale,Pizza,Protein,1809,no,no,165,Strength_restored
24,Kale,Pizza,Good fat,3415,no,no,97,Strength_restored
24,Beets,Pizza,Good fat,2376,no,no,122,Strength_restored
24,Kale,Pizza,Protein,9883,no,no,210,Strength_restored
24,Kale,Pizza,Protein,598,no,no,762,Strength_restored
24,Kale,Donut,Protein,556,yes,no,460,Strength_restored
24,Kale,Pizza,Protein,638,yes,yes,792,Strength_restored
24,Kale,Pizza,Protein,833,yes,no,956,Strength_restored
24,Kale,Donut,Protein,-389,yes,yes,1242,Strength_restored
24,Beets,Pizza,Protein,2573,no,no,375,Strength_restored
24,Kale,Pizza,Protein,1299,yes,yes,113,Loss_of_strength
24,Almond,Donut,Protein,230,yes,no,73,Loss_of_strength
24,Kale,Pizza,Bad fat,782,no,no,12,Loss_of_strength
24,Kale,Pizza,Protein,476,yes,no,161,Loss_of_strength
24,Kale,Pizza,Protein,11,yes,no,114,Loss_of_strength
24,Almond,Pizza,Good fat,1141,yes,no,230,Loss_of_strength
24,Almond,Pizza,Protein,1235,yes,yes,76,Loss_of_strength
24,Almond,Donut,Protein,299,yes,no,209,Loss_of_strength
24,Kale,Pizza,Protein,-398,yes,no,14,Loss_of_strength
24,Kale,Donut,Protein,1222,yes,no,369,Loss_of_strength
24,Kale,Pizza,Protein,135,yes,yes,250,Loss_of_strength
24,Almond,Donut,Protein,2278,yes,no,77,Loss_of_strength
24,Almond,Donut,Protein,0,yes,no,284,Loss_of_strength
24,Kale,Pizza,Protein,-126,yes,yes,382,Loss_of_strength
24,Kale,Pizza,Carbs,0,no,no,25,Loss_of_strength
24,Almond,Pizza,Protein,172,no,no,114,Loss_of_strength
24,Beets,Pizza,Good fat,91,yes,no,134,Loss_of_strength
24,Beets,Pizza,Good fat,931,yes,no,200,Loss_of_strength
24,Almond,Pizza,Protein,86,no,no,1075,Loss_of_strength
24,Kale,Pizza,Protein,327,yes,no,333,Loss_of_strength
24,Almond,Donut,Protein,541,yes,no,622,Loss_of_strength
24,Kale,Pizza,Protein,3,yes,no,311,Loss_of_strength
24,Kale,Pizza,Protein,1,yes,no,79,Loss_of_strength
24,Kale,Pizza,Protein,423,yes,no,226,Loss_of_strength
24,Kale,Pizza,Protein,-10,yes,no,106,Loss_of_strength
24,Kale,Pizza,Protein,493,yes,no,85,Loss_of_strength
24,Kale,Pizza,Carbs,1033,yes,no,283,Loss_of_strength
25,Kale,Donut,Protein,97,yes,no,709,Strength_restored
25,Beets,Pizza,Protein,1242,yes,no,615,Strength_restored
25,Almond,Donut,Carbs,168,yes,no,801,Strength_restored
25,Kale,Pizza,Protein,-191,yes,no,958,Strength_restored
25,Kale,Pizza,Carbs,52,yes,no,528,Strength_restored
25,Kale,Pizza,Protein,0,no,yes,634,Strength_restored
25,Kale,Donut,Protein,101,no,yes,460,Strength_restored
25,Kale,Pizza,Protein,189,no,yes,687,Strength_restored
25,Kale,Pizza,Protein,1243,no,yes,1341,Strength_restored
25,Kale,Pizza,Carbs,2483,no,no,1499,Strength_restored
25,Kale,Pizza,Protein,333,no,yes,1056,Strength_restored
25,Kale,Pizza,Protein,2311,no,yes,1105,Strength_restored
25,Almond,Donut,Bad fat,349,yes,no,1037,Strength_restored
25,Almond,Donut,Protein,2228,yes,no,754,Strength_restored
25,Kale,Pizza,Protein,-247,yes,no,633,Strength_restored
25,Kale,Pizza,Protein,1747,yes,no,903,Strength_restored
25,Kale,Donut,Protein,0,yes,no,458,Strength_restored
25,Almond,Pizza,Protein,483,no,yes,189,Strength_restored
25,Kale,Pizza,Protein,1231,yes,no,412,Strength_restored
25,Almond,Pizza,Good fat,3730,yes,no,353,Strength_restored
25,Beets,Pizza,Good fat,42,yes,no,320,Strength_restored
25,Almond,Pizza,Protein,82,no,yes,104,Strength_restored
25,Kale,Pizza,Protein,8,no,no,107,Strength_restored
25,Kale,Pizza,Protein,0,no,no,163,Strength_restored
25,Almond,Pizza,Good fat,943,no,no,512,Strength_restored
25,Almond,Pizza,Good fat,219,no,no,458,Strength_restored
25,Kale,Pizza,Protein,1608,no,no,664,Strength_restored
25,Almond,Pizza,Protein,2816,no,no,327,Strength_restored
25,Kale,Pizza,Good fat,253,no,no,597,Strength_restored
25,Kale,Pizza,Carbs,373,yes,no,819,Strength_restored
25,Almond,Pizza,Protein,507,yes,no,832,Strength_restored
25,Kale,Pizza,Protein,217,yes,no,504,Strength_restored
25,Kale,Pizza,Protein,1119,yes,no,1063,Strength_restored
25,Kale,Pizza,Carbs,292,yes,yes,1027,Strength_restored
25,Almond,Pizza,Good fat,1317,no,no,176,Strength_restored
25,Kale,Pizza,Good fat,326,no,no,390,Strength_restored
25,Kale,Pizza,Protein,304,no,no,226,Strength_restored
25,Almond,Donut,Good fat,906,no,no,253,Strength_restored
25,Almond,Pizza,Good fat,760,yes,no,223,Strength_restored
25,Kale,Pizza,Bad fat,277,no,no,311,Strength_restored
25,Beets,Pizza,Good fat,343,no,no,377,Strength_restored
25,Kale,Pizza,Protein,1199,no,no,287,Strength_restored
25,Kale,Pizza,Protein,938,no,no,1048,Strength_restored
25,Kale,Pizza,Good fat,1189,no,no,165,Strength_restored
25,Kale,Pizza,Protein,389,no,no,837,Strength_restored
25,Almond,Pizza,Protein,1871,no,no,136,Strength_restored
25,Kale,Pizza,Protein,594,no,no,89,Strength_restored
25,Beets,Pizza,Good fat,42,yes,no,149,Strength_restored
25,Kale,Pizza,Good fat,3630,no,no,221,Strength_restored
25,Kale,Pizza,Good fat,12,no,no,126,Strength_restored
25,Kale,Pizza,Protein,505,no,no,284,Strength_restored
25,Kale,Pizza,Good fat,58,no,no,139,Strength_restored
25,Almond,Pizza,Good fat,219,no,no,576,Strength_restored
25,Almond,Pizza,Good fat,528,no,no,201,Strength_restored
25,Kale,Pizza,Good fat,3411,no,no,225,Strength_restored
25,Salmon,Pizza,Good fat,347,no,no,267,Strength_restored
25,Kale,Pizza,Protein,469,no,no,273,Strength_restored
25,Almond,Pizza,Protein,1871,no,no,260,Strength_restored
25,Kale,Pizza,Bad fat,480,no,no,140,Strength_restored
25,Almond,Pizza,Good fat,808,no,no,267,Strength_restored
25,Almond,Pizza,Good fat,1185,no,no,290,Strength_restored
25,Kale,Pizza,Protein,139,no,yes,138,Strength_restored
25,Kale,Donut,Good fat,2551,no,no,400,Strength_restored
25,Kale,Pizza,Protein,139,no,yes,202,Strength_restored
25,Kale,Pizza,Protein,2007,no,no,265,Strength_restored
25,Almond,Donut,Bad fat,448,no,no,151,Strength_restored
25,Kale,Pizza,Protein,154,no,no,141,Strength_restored
25,Kale,Pizza,Protein,509,no,no,418,Strength_restored
25,Kale,Pizza,Protein,303,no,no,265,Strength_restored
25,Beets,Pizza,Carbs,129,no,no,176,Strength_restored
25,Kale,Pizza,Bad fat,722,no,no,623,Strength_restored
25,Kale,Pizza,Protein,3713,no,no,323,Strength_restored
25,Kale,Pizza,Protein,303,no,no,252,Strength_restored
25,Kale,Pizza,Protein,1957,no,no,1207,Strength_restored
25,Kale,Pizza,Protein,1857,yes,no,195,Strength_restored
25,Kale,Pizza,Protein,348,no,no,245,Strength_restored
25,Kale,Pizza,Bad fat,1003,no,no,361,Strength_restored
25,Kale,Pizza,Protein,2975,no,no,799,Strength_restored
25,Kale,Pizza,Protein,154,no,no,382,Strength_restored
25,Kale,Pizza,Protein,486,no,no,273,Strength_restored
25,Almond,Pizza,Good fat,3902,no,no,856,Strength_restored
25,Kale,Pizza,Protein,679,no,no,297,Strength_restored
25,Kale,Pizza,Protein,358,no,no,330,Strength_restored
25,Kale,Pizza,Protein,505,no,yes,386,Strength_restored
25,Almond,Pizza,Good fat,2506,no,no,485,Strength_restored
25,Kale,Pizza,Good fat,1231,no,no,271,Strength_restored
25,Kale,Pizza,Bad fat,2022,no,no,276,Strength_restored
25,Kale,Donut,Protein,0,no,yes,1424,Strength_restored
25,Kale,Pizza,Protein,4718,no,no,709,Strength_restored
25,Kale,Pizza,Protein,4147,no,no,211,Strength_restored
25,Almond,Donut,Good fat,-242,yes,yes,600,Strength_restored
25,Kale,Pizza,Protein,125,no,no,215,Strength_restored
25,Kale,Pizza,Protein,1857,yes,no,295,Strength_restored
25,Kale,Pizza,Protein,4859,no,no,227,Strength_restored
25,Almond,Pizza,Protein,285,no,no,658,Strength_restored
25,Kale,Pizza,Protein,2354,no,no,226,Strength_restored
25,Kale,Pizza,Protein,108,no,no,305,Strength_restored
25,Almond,Pizza,Good fat,3,yes,yes,1034,Strength_restored
25,Kale,Donut,Good fat,839,yes,no,700,Strength_restored
25,Kale,Pizza,Protein,325,no,no,716,Strength_restored
25,Kale,Pizza,Protein,7103,yes,no,188,Strength_restored
25,Kale,Pizza,Protein,801,no,no,255,Strength_restored
25,Kale,Pizza,Protein,1857,yes,no,187,Strength_restored
25,Kale,Pizza,Protein,1868,no,no,259,Strength_restored
25,Kale,Pizza,Protein,162,yes,no,531,Strength_restored
25,Kale,Pizza,Bad fat,3,no,no,170,Strength_restored
25,Kale,Donut,Good fat,10,yes,no,857,Strength_restored
25,Kale,Pizza,Protein,331,no,no,170,Strength_restored
25,Kale,Pizza,Protein,102,no,yes,574,Strength_restored
25,Almond,Donut,Good fat,4461,no,no,796,Strength_restored
25,Almond,Pizza,Good fat,362,no,no,617,Strength_restored
25,Almond,Pizza,Protein,122,yes,no,481,Strength_restored
25,Almond,Pizza,Good fat,316,no,no,347,Strength_restored
25,Kale,Pizza,Good fat,640,yes,no,492,Loss_of_strength
25,Kale,Pizza,Protein,1847,no,no,137,Loss_of_strength
25,Almond,Pizza,Good fat,493,yes,no,301,Loss_of_strength
25,Kale,Pizza,Good fat,148,no,no,421,Loss_of_strength
25,Kale,Pizza,Protein,-375,yes,no,61,Loss_of_strength
25,Kale,Pizza,Protein,192,no,no,112,Loss_of_strength
25,Kale,Pizza,Protein,-250,yes,no,456,Loss_of_strength
25,Almond,Pizza,Good fat,2399,yes,no,193,Loss_of_strength
25,Kale,Pizza,Good fat,505,yes,no,37,Loss_of_strength
25,Almond,Pizza,Protein,1272,yes,no,342,Loss_of_strength
25,Almond,Pizza,Protein,96,yes,no,176,Loss_of_strength
25,Kale,Donut,Protein,758,yes,no,504,Loss_of_strength
25,Almond,Pizza,Protein,120,yes,no,542,Loss_of_strength
25,Almond,Pizza,Good fat,220,no,no,68,Loss_of_strength
25,Kale,Pizza,Protein,543,yes,no,302,Loss_of_strength
25,Almond,Pizza,Good fat,2140,no,no,81,Loss_of_strength
25,Kale,Pizza,Protein,382,yes,no,392,Loss_of_strength
25,Kale,Pizza,Protein,111,no,yes,316,Loss_of_strength
25,Almond,Pizza,Protein,654,no,no,216,Loss_of_strength
25,Almond,Pizza,Protein,131,yes,yes,237,Loss_of_strength
25,Kale,Pizza,Bad fat,2503,no,no,100,Loss_of_strength
25,Kale,Pizza,Protein,76,no,yes,50,Loss_of_strength
25,Kale,Pizza,Good fat,130,yes,no,49,Loss_of_strength
25,Kale,Pizza,Protein,293,yes,no,170,Loss_of_strength
25,Kale,Pizza,Protein,1139,yes,no,22,Loss_of_strength
25,Kale,Pizza,Protein,895,yes,no,167,Loss_of_strength
25,Almond,Pizza,Good fat,2305,no,no,207,Loss_of_strength
25,Kale,Pizza,Protein,1919,yes,no,264,Loss_of_strength
25,Kale,Pizza,Protein,1298,no,no,206,Loss_of_strength
25,Kale,Donut,Protein,1782,yes,no,549,Loss_of_strength
25,Kale,Ramen,Protein,1694,no,no,159,Loss_of_strength
25,Kale,Donut,Protein,-276,yes,no,105,Loss_of_strength
25,Almond,Pizza,Protein,483,no,yes,68,Loss_of_strength
25,Almond,Donut,Protein,894,yes,no,328,Loss_of_strength
25,Kale,Donut,Protein,4522,yes,no,177,Loss_of_strength
25,Almond,Pizza,Good fat,1602,yes,no,154,Loss_of_strength
25,Kale,Pizza,Good fat,800,yes,no,151,Loss_of_strength
25,Kale,Pizza,Protein,628,no,no,266,Loss_of_strength
25,Kale,Pizza,Carbs,-289,yes,no,56,Loss_of_strength
25,Almond,Pizza,Good fat,1141,yes,no,718,Loss_of_strength
25,Kale,Pizza,Protein,703,no,no,1100,Loss_of_strength
